family	genus	species	phylogenetic_category	mean_size	lake_compartment
Esocidae	Esox 	lucius	vertebrate	900000	pel/ben
Cyprinidae	Abramis 	brama	vertebrate	350000	ben
Lotidae	Lota	lota	vertebrate	325000	ben
Salmonidae	Coregonus	lavaretus	vertebrate	300000	pel
Percidae	Perca	fluviatilis	vertebrate	250000	pel/ben
Cyprinidae	Rutilus	rutilus	vertebrate	200000	pel/ben
Cyprinidae	Alburnus 	alburnus	vertebrate	115000	pel
Centrarchidae	Lepomis 	gibbosus	vertebrate	70000	ben
Gammaridae	Gammarus	sp.	invertebrate	14000	ben
Baetidae	Baetis	sp.	invertebrate	9000	pel/ben
Chironomidae	Procladius	sp.	invertebrate	12000	pel/ben
Chironomidae	Chironomus	sp.	invertebrate	15000	pel/ben
Chironomidae	Cladopelma	sp.	invertebrate	7000	pel/ben
Chironomidae	Dicrotendipes	sp.	invertebrate	8500	pel/ben
Chironomidae	Paratendipes	sp.	invertebrate	8000	pel/ben
Chironomidae	Polypedilum	sp.	invertebrate	9500	pel/ben
Chironomidae	Stictochironomus	sp.	invertebrate	10000	pel/ben
Leptodoridae	Leptodora	kindtii	invertebrate	12500	pel
Cyclopidae	Megacyclops	viridis	invertebrate	2000	pel
Cyclopidae	Mesocyclops	leuckartii	invertebrate	750	pel
Cyclopidae	Cyclops	prealpinus	invertebrate	950	pel
Stephanodiscaceae	Cyclotella	polymorpha	phytoplankton	22	pel
Dinobryaceae	Dinobryon	sociale	phytoplankton	105	pel
Selenastraceae	Monoraphidium	circinale	phytoplankton	92	pel
Fragilariaceae	Asterionella	formosa	phytoplankton	70	pel
Stephanodiscaceae	Stephanodiscus	alpinus	phytoplankton	50	pel
Gymnodiniaceae	Gymnodinium	helveticum	phytoplankton	45	pel
Ulnariaceae	Ulnaria	acus	phytobenthos	121	ben
Rhopalodiaceae	Rhopalodia	parallela	phytobenthos	105	ben
Bacillariaceae	Nitzschia	recta	phytobenthos	95	ben
